# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	9640
#@/user_id	71976ba1-830a-45d3-bed3-0cdf4d8efa78
a 	啊	c=6 d=1.44394 t=9597
a fu han 	阿富汗	c=1 d=1 t=3116
a li 	阿里	c=2 d=1 t=7806
a lian qiu 	阿聯酋	c=2 d=1.98511 t=7151
ai 	哀	c=4 d=1.35473 t=9342
ai 	艾	c=1 d=1 t=5059
ai ge 	挨個	c=0 d=0.1 t=6251
ai xin 	愛心	c=1 d=1 t=172
an 	按	c=3 d=1 t=6773
an 	暗	c=2 d=1.99005 t=9352
an jian 	按鍵	c=1 d=1 t=3920
an jian 	案件	c=1 d=1 t=2204
an jing 	安靖	c=1 d=1 t=4638
an min 	安民	c=1 d=1 t=74
an pai 	安排	c=6 d=2.84081 t=8267
an quan 	安全	c=4 d=1.0087 t=8401
an shi 	按時	c=1 d=1 t=2578
an zang 	安葬	c=1 d=1 t=6072
an zhao 	按照	c=2 d=1 t=6248
an zhuang 	安裝	c=4 d=1 t=9525
an zhuang bao 	安裝包	c=1 d=1 t=3659
ao 	奧	c=1 d=1 t=182
ao da li ya 	澳大利亞	c=6 d=2.29415 t=7926
ba 	八	c=4 d=2.65525 t=7094
ba 	吧	c=12 d=2.13897 t=9598
ba 	巴	c=1 d=1 t=4408
ba 	把	c=31 d=4.3169 t=8114
ba bai nian 	八百年	c=1 d=1 t=4986
ba ji si tan 	巴基斯坦	c=27 d=1.81631 t=9246
ba li yu 	巴利語	c=1 d=1 t=9509
ba lin 	巴林	c=1 d=1 t=2843
ba nian 	八年	c=1 d=1 t=5633
bai 	敗	c=2 d=1 t=6164
bai dun 	百噸	c=2 d=1.78295 t=956
bai long ma 	白龍馬	c=1 d=1 t=8922
bai se 	白色	c=1 d=1 t=8279
bai shi 	百事	c=1 d=1 t=6204
ban 	搬	c=1 d=1 t=6714
ban 	版	c=1 d=1 t=4994
ban 	班	c=1 d=1 t=6986
ban 	辦	c=1 d=1 t=3641
ban ben 	版本	c=6 d=1.4085 t=4987
ban fa 	辦法	c=3 d=1.03812 t=9614
ban gong 	辦公	c=1 d=1 t=3095
ban gong shi 	辦公室	c=3 d=1.97531 t=8691
ban li 	辦理	c=3 d=1 t=8885
ban lu 	半路	c=1 d=1 t=1775
ban nian 	半年	c=1 d=1 t=6699
ban ye 	半夜	c=1 d=1 t=8409
bang 	幫	c=17 d=2.56598 t=8917
bang ding 	綁定	c=3 d=1.91434 t=3535
bang mang 	幫忙	c=2 d=1.00343 t=2565
bang wo 	幫我	c=4 d=1 t=9571
bang wo men 	幫我們	c=1 d=1 t=2366
bang zhu 	幫助	c=1 d=1 t=3616
bao 	包	c=2 d=1.05901 t=4230
bao chai 	寶釵	c=1 d=1 t=4704
bao cun 	保存	c=1 d=1 t=7124
bao da 	保大	c=1 d=1 t=72
bao e 	保額	c=0 d=0.1 t=4042
bao gao 	報告	c=5 d=3.28838 t=6637
bao han 	包含	c=1 d=1 t=5766
bao jia 	報價	c=4 d=1.00078 t=8363
bao kuo 	包括	c=1 d=1 t=9106
bao mei 	胞妹	c=1 d=1 t=3219
bao pi 	包皮	c=2 d=1.97045 t=3727
bao wei zhan 	保衛戰	c=1 d=1 t=7170
bao xiao 	報銷	c=19 d=2.60946 t=3428
bao yu 	寶玉	c=2 d=1.94176 t=4718
bao zheng 	保證	c=1 d=1 t=9298
bei 	被	c=6 d=1.72565 t=9162
bei ju 	悲劇	c=1 d=1 t=1166
bei ying 	背影	c=1 d=1 t=7337
bei yong 	備用	c=2 d=1.16613 t=7029
bei yong jin 	備用金	c=1 d=1 t=2624
bei zhu 	備注	c=5 d=2.40886 t=7013
ben 	本	c=8 d=1.00888 t=5660
ben di 	本地	c=8 d=1.02107 t=7663
ben lai 	本來	c=1 d=1 t=1857
ben shen 	本身	c=1 d=1 t=2262
bi 	必	c=5 d=1.00901 t=7174
bi 	斃	c=3 d=1 t=8937
bi 	比	c=4 d=1 t=7865
bi ji 	筆記	c=4 d=1 t=9511
bi ji ben 	筆記本	c=3 d=1.00002 t=7213
bi jiao 	比較	c=3 d=1.00053 t=2579
bi jing 	畢竟	c=2 d=1 t=8210
bi lu zhi 	俾路支	c=7 d=1.0373 t=8205
bi mian 	避免	c=1 d=1 t=2581
bi xu 	必須	c=4 d=2.55092 t=6926
bi yao 	必要	c=2 d=1 t=8630
bi you 	必有	c=3 d=1.85642 t=7090
bian 	變	c=1 d=1 t=3301
bian 	邊	c=1 d=1 t=1537
bian cheng 	編程	c=3 d=2.84522 t=3958
bian cheng 	變成	c=1 d=1 t=3364
bian geng 	變更	c=8 d=6.6213 t=6934
bian ji qi 	編輯器	c=3 d=1 t=9590
bian jing 	邊境	c=1 d=1 t=8122
bian ma 	編碼	c=1 d=1 t=9639
bian yi 	編譯	c=2 d=1.97531 t=4214
biao 	標	c=2 d=1.98511 t=2168
biao 	表	c=3 d=1 t=6254
biao da 	表達	c=1 d=1 t=615
biao ge 	表格	c=2 d=1.75957 t=3155
biao ti 	標題	c=1 d=1 t=6629
biao zhu 	標注	c=1 d=1 t=4771
bie 	別	c=1 d=1 t=5400
bie ren 	別人	c=6 d=1.99501 t=9098
bing 	並	c=9 d=1.00175 t=8196
bing 	兵	c=3 d=2.59986 t=4689
bing 	冰	c=3 d=2.0715 t=3522
bing qie 	並且	c=2 d=1 t=9549
bo 	伯	c=2 d=1.01786 t=5093
bo 	薄	c=7 d=1.036 t=8737
bo fang 	播放	c=1 d=1 t=2605
bo shu 	帛書	c=2 d=1.99005 t=4948
bo zhong shu ji 	伯仲叔季	c=1 d=1 t=40
bu 	不	c=66 d=1.61803 t=9459
bu 	卜	c=2 d=1 t=8459
bu 	部	c=1 d=1 t=276
bu bi yao 	不必要	c=1 d=1 t=2582
bu chong 	補充	c=1 d=1 t=7413
bu da 	不大	c=2 d=1 t=8079
bu dao 	不到	c=4 d=1.1097 t=3547
bu duo 	不多	c=1 d=1 t=574
bu guan 	不管	c=1 d=1 t=8165
bu guang shi 	不光是	c=1 d=1 t=7449
bu hao 	不好	c=6 d=1.15645 t=8789
bu he shi 	不合適	c=1 d=1 t=8550
bu hui 	不會	c=5 d=1.08825 t=8549
bu jian 	不見	c=1 d=1 t=1276
bu ke 	不可	c=1 d=1 t=298
bu ke neng 	不可能	c=1 d=1 t=1057
bu liao 	不了	c=2 d=1.01419 t=2390
bu liao 	不聊	c=1 d=1 t=9455
bu man 	不滿	c=1 d=1 t=6408
bu ming 	不明	c=1 d=1 t=6201
bu neng 	不能	c=7 d=2.13297 t=9427
bu qie 	不切	c=1 d=1 t=8013
bu qing 	不清	c=1 d=1 t=2374
bu ran 	不然	c=1 d=1 t=1069
bu rang 	不讓	c=1 d=1 t=2462
bu shi 	不是	c=25 d=1.95869 t=8197
bu shou 	不受	c=1 d=1 t=6328
bu shu 	部署	c=1 d=1 t=3741
bu tong 	不同	c=2 d=1.00073 t=5774
bu xiang 	不想	c=1 d=1 t=9264
bu xiao 	不小	c=1 d=1 t=9080
bu xin 	不信	c=1 d=1 t=5595
bu xu yao 	不需要	c=1 d=1 t=8984
bu xue 	不學	c=1 d=1 t=6316
bu yan 	不言	c=1 d=1 t=6569
bu yao 	不要	c=4 d=1.37015 t=8779
bu yi yang 	不一樣	c=1 d=1 t=1678
bu yong 	不用	c=8 d=1 t=9474
bu yuan 	不遠	c=1 d=1 t=5196
bu zai 	不再	c=2 d=1 t=9605
bu zai 	不在	c=4 d=1.37839 t=8991
bu zhi dao 	不知道	c=3 d=1 t=8396
cai 	才	c=10 d=1.00434 t=9310
cai 	菜	c=3 d=1 t=9207
cai 	財	c=1 d=1 t=78
cai hui 	才會	c=2 d=1.97045 t=3629
cai kuang 	採礦	c=1 d=1 t=5917
cai neng 	才能	c=2 d=1.0002 t=5477
cai se 	彩色	c=1 d=1 t=8774
cai shi 	才是	c=1 d=1 t=8773
cai wu 	財務	c=14 d=1.99526 t=7198
cai yong 	採用	c=1 d=1 t=3946
